a_Cr,a_Si,a_Mo,a_Co,a_C,a_Mn,C0,a_Ni,a_Al,a_V
254.381103515625,67.9442138671875,453.526611328125,514.4857177734375,187.345458984375,271.7608642578125,41.7972412109375,81.24774169921875,-192.1356201171875,773.0948486328125
293.080322265625,65.26202392578125,478.44427490234375,446.6341552734375,160.5537109375,304.1553955078125,3.9827880859375,79.5771484375,-155.173828125,778.5260009765625
260.04180908203125,53.2861328125,439.72283935546875,323.2496337890625,162.527587890625,320.4163818359375,39.1068115234375,75.87066650390625,-56.360107421875,595.54248046875
272.6212158203125,67.0013427734375,497.4447021484375,493.4609680175781,169.0361328125,285.78369140625,18.5596923828125,83.98394775390625,-204.384521484375,672.2892456054688
294.3951416015625,64.95654296875,466.31982421875,468.00225830078125,143.70758056640625,285.78759765625,75.873779296875,67.46917724609375,-134.174560546875,886.228515625
277.17291259765625,66.02093505859375,476.22198486328125,372.4447021484375,171.5467529296875,314.74658203125,9.6627197265625,87.6907958984375,-247.652587890625,885.868408203125
274.4447021484375,51.48193359375,483.84326171875,557.5501098632812,169.21417236328125,334.73333740234375,26.0438232421875,53.64288330078125,-80.4727783203125,738.8034057617188
279.552734375,64.1151123046875,473.4285888671875,322.93963623046875,176.18902587890625,334.34307861328125,13.8193359375,59.695068359375,-25.6280517578125,427.63677978515625
287.84942626953125,70.46539306640625,450.80255126953125,436.61773681640625,159.8685302734375,294.20526123046875,39.4603271484375,79.529052734375,-188.2528076171875,527.470947265625
278.02655029296875,114.29559326171875,503.5129699707031,465.14422607421875,163.57073974609375,261.74896240234375,0.245361328125,95.40850830078125,-206.8927001953125,443.67889404296875
281.963134765625,56.38067626953125,492.2070007324219,416.32171630859375,143.630615234375,370.890625,2.486328125,90.65185546875,-94.4124755859375,63.05615234375
298.2041015625,54.06561279296875,471.82147216796875,456.41357421875,147.58489990234375,309.85479736328125,22.5694580078125,94.2847900390625,-71.4742431640625,173.75396728515625
