b_0,ET,b_1,a_0
513.3731079101562,0.8239854574203491,-1086.730224609375,14924.82421875
497.7264404296875,0.7915374636650085,-1101.1766357421875,12953.556640625
496.17694091796875,0.7876845598220825,-1098.208251953125,14866.65625
549.4408569335938,0.6166278719902039,-1091.656005859375,14782.0751953125
545.6821899414062,0.8554473519325256,-1104.4420166015625,15573.4716796875
473.95489501953125,0.28639692068099976,-1093.864013671875,13548.787109375
418.1725158691406,0.7817121744155884,-1104.7230224609375,12518.2314453125
308.9602966308594,1.212500810623169,-1120.697509765625,6497.91943359375
284.0877685546875,0.9693782925605774,-1090.513427734375,7813.501953125
363.7200927734375,0.6725740432739258,-1087.8536376953125,10822.0439453125
335.2156982421875,0.7292386293411255,-1106.677001953125,8290.91015625
285.7959899902344,0.4782652258872986,-1093.87548828125,7381.81103515625
286.09710693359375,0.6789264678955078,-1114.6116943359375,3864.715576171875
280.5135803222656,0.7778990268707275,-1125.4317626953125,6822.41845703125
329.0815734863281,1.0913504362106323,-1093.593505859375,6446.9345703125
481.402587890625,1.0643303394317627,-1095.337890625,14327.5048828125
454.2725524902344,1.2452774047851562,-1112.97509765625,13598.2900390625
504.7879333496094,0.9935058355331421,-1093.84912109375,16354.1064453125
391.006591796875,0.312151700258255,-1076.779052734375,11919.5029296875
455.9115295410156,0.844814658164978,-1094.00146484375,10680.8486328125
488.388427734375,0.4927666187286377,-1103.080078125,16549.408203125
425.6517028808594,1.1866607666015625,-1111.437744140625,12074.48828125
447.41485595703125,0.6088390350341797,-1113.772216796875,10633.1796875
500.87841796875,1.4196897745132446,-1119.090576171875,14050.4140625
501.6716613769531,0.9730022549629211,-1090.09375,13908.7021484375
416.81329345703125,0.6567567586898804,-1102.039306640625,14301.818359375
522.9772338867188,1.1978265047073364,-1101.48828125,14442.1015625
606.16259765625,0.724197506904602,-1101.4263916015625,16552.29296875
622.2794189453125,0.4502011835575104,-1082.3701171875,17515.892578125
660.8355712890625,0.8160278797149658,-1087.110107421875,20587.380859375
657.137939453125,0.7798999547958374,-1099.6248779296875,20377.3828125
598.2069091796875,0.9093613624572754,-1098.72705078125,16548.447265625
579.77685546875,0.679292619228363,-1094.4598388671875,17620.375
477.3489990234375,0.7256752848625183,-1122.572998046875,13980.8251953125
428.44000244140625,1.110473871231079,-1099.0419921875,11243.1484375
561.0433349609375,1.1019911766052246,-1097.127685546875,15982.8037109375
535.14990234375,1.2534961700439453,-1100.3553466796875,13467.8125
457.63189697265625,0.6377856731414795,-1094.21337890625,14785.5009765625
608.0074462890625,1.1210229396820068,-1102.9150390625,16649.5
625.3291625976562,0.7997673153877258,-1090.03662109375,19395.291015625
605.62109375,0.609907865524292,-1090.210205078125,18126.265625
607.6962280273438,1.2195932865142822,-1118.723388671875,18213.705078125
445.5072326660156,0.4798673391342163,-1071.2625732421875,11537.662109375
287.3534240722656,0.7480087280273438,-1122.093505859375,8743.78125
262.9107666015625,0.7420141100883484,-1090.556396484375,1977.014404296875
265.009033203125,0.968160092830658,-1105.911376953125,6198.939453125
366.8428649902344,0.6666290760040283,-1088.2921142578125,7402.28271484375
515.1371459960938,0.776002049446106,-1095.817138671875,16887.720703125
