a_C,a_Ni,a_Mn,a_V,a_Al,a_Si,a_Cr,a_Mo,a_Co,C0
-170.821044921875,54.172607421875,305.38037109375,181.841552734375,-99.09539794921875,54.4554443359375,262.6983642578125,480.3985595703125,280.53125,51.583984375
-158.14117431640625,72.649169921875,249.7086181640625,171.69189453125,-96.737060546875,65.3255615234375,284.553466796875,518.703857421875,247.33544921875,9.50482177734375
-165.84661865234375,61.323974609375,258.09765625,139.708740234375,-54.2296142578125,65.19970703125,285.4981689453125,489.3392333984375,245.22705078125,54.0701904296875
-179.34979248046875,73.740478515625,300.2506103515625,219.53271484375,-6.07354736328125,48.8260498046875,277.559326171875,516.818603515625,265.478515625,10.10919189453125
-145.66937255859375,76.8363037109375,313.6983642578125,247.557373046875,-60.0299072265625,59.133544921875,291.6368408203125,533.5556640625,152.42138671875,-77.5640869140625
-167.8165283203125,77.5699462890625,285.1253662109375,293.0556640625,-71.0189208984375,72.05859375,271.545654296875,517.664794921875,89.2620849609375,-0.46466064453125
-200.2283935546875,70.431884765625,277.015380859375,358.9190673828125,-101.2554931640625,72.5179443359375,264.58935546875,499.8643798828125,270.86474609375,73.123291015625
-160.40496826171875,54.4586181640625,248.115478515625,404.201904296875,-84.82391357421875,55.293701171875,248.38037109375,456.0966796875,380.404052734375,103.15478515625
-195.61444091796875,47.3541259765625,274.2794189453125,520.260009765625,-36.89544677734375,46.853515625,263.1197509765625,424.03515625,202.4814453125,137.104736328125
-164.95147705078125,54.3204345703125,240.892822265625,545.5712890625,-33.6439208984375,56.05419921875,260.0477294921875,463.820068359375,172.0267333984375,88.3544921875
-185.8792724609375,51.8197021484375,261.08447265625,522.90185546875,-61.64794921875,54.9989013671875,249.4652099609375,416.2200927734375,164.383544921875,149.873779296875
-172.32305908203125,55.909912109375,230.7122802734375,502.0614013671875,-82.330322265625,71.5234375,248.133544921875,456.931640625,258.7935791015625,111.9739990234375
-162.68743896484375,52.3233642578125,257.5120849609375,469.875244140625,-30.6790771484375,69.257080078125,268.616943359375,463.528564453125,227.2059326171875,52.1263427734375
-156.6063232421875,62.7872314453125,240.36328125,556.9852294921875,2.4525146484375,64.1441650390625,256.5078125,473.782958984375,178.1927490234375,69.287109375
-192.47369384765625,70.7845458984375,268.267333984375,455.63037109375,-89.4346923828125,69.126708984375,261.29638671875,471.227294921875,197.37451171875,93.1373291015625
-140.5592041015625,66.5823974609375,269.9097900390625,352.0546875,-85.88433837890625,75.43212890625,283.2353515625,486.44970703125,123.31494140625,-12.7235107421875
-164.52667236328125,49.6768798828125,264.5653076171875,233.71142578125,-35.66741943359375,49.9530029296875,275.2572021484375,468.0810546875,227.0543212890625,74.0419921875
-155.36688232421875,55.7694091796875,274.976806640625,340.3392333984375,15.351318359375,48.7861328125,268.584716796875,461.2852783203125,182.3218994140625,70.5020751953125
-167.85406494140625,62.3988037109375,269.7647705078125,376.5738525390625,-51.48052978515625,73.834716796875,278.7919921875,485.46435546875,157.71826171875,25.36328125
-155.6693115234375,61.3558349609375,284.186767578125,438.6351318359375,-18.68341064453125,58.627685546875,278.2384033203125,501.429931640625,152.2891845703125,1.623046875
-178.14959716796875,71.0633544921875,276.6806640625,307.2840576171875,-12.27203369140625,56.9765625,258.019287109375,457.6842041015625,70.525634765625,78.7459716796875
-159.49725341796875,56.528564453125,255.9608154296875,333.4678955078125,-66.5069580078125,75.09130859375,248.1361083984375,453.1231689453125,141.03857421875,81.7451171875
-184.19097900390625,42.8131103515625,248.38037109375,526.228759765625,5.24749755859375,43.904052734375,270.4898681640625,450.868896484375,148.1121826171875,138.5513916015625
-185.05816650390625,56.3497314453125,246.6077880859375,455.147216796875,-42.52056884765625,59.5416259765625,251.55126953125,464.306396484375,168.3687744140625,126.6500244140625
-199.36480712890625,55.252197265625,288.688720703125,500.82861328125,-5.6180419921875,51.06787109375,269.6951904296875,490.1553955078125,179.4224853515625,91.96337890625
