a_Mo,a_Co,a_Cr,a_C,a_Mn,a_Al,C0,a_V,a_Ni,a_Si
480.5928955078125,214.2139892578125,294.8863525390625,-147.2020263671875,325.7825927734375,-86.5484619140625,33.1309814453125,369.1705322265625,75.0433349609375,54.541748046875
526.9580078125,213.2232666015625,283.094482421875,-131.57293701171875,306.2396240234375,-174.18524169921875,-10.74365234375,499.163330078125,71.5931396484375,72.55224609375
512.6451416015625,218.1463623046875,281.480224609375,-156.27374267578125,322.4754638671875,-51.25616455078125,32.045166015625,573.4632568359375,69.164306640625,55.3734130859375
483.5985107421875,267.3282470703125,283.566162109375,-142.6807861328125,263.8331298828125,-173.70233154296875,61.7177734375,434.826171875,72.271484375,75.1341552734375
521.0228271484375,332.107177734375,294.0928955078125,-150.94696044921875,281.9915771484375,-136.39068603515625,6.14202880859375,544.7156982421875,81.309814453125,81.8883056640625
487.0902099609375,288.513916015625,279.2591552734375,-142.5269775390625,306.97509765625,-134.79644775390625,24.4320068359375,412.614990234375,72.8770751953125,59.7587890625
509.502685546875,254.0245361328125,271.17578125,-126.89404296875,319.0589599609375,-142.305419921875,12.09893798828125,271.302734375,76.2703857421875,60.6759033203125
510.434326171875,313.3846435546875,307.384521484375,-144.57305908203125,290.2906494140625,-141.13909912109375,37.9915771484375,314.7647705078125,74.62060546875,62.5987548828125
519.745361328125,320.5068359375,276.185791015625,-140.72802734375,293.87060546875,-105.81866455078125,35.7955322265625,281.6368408203125,70.672607421875,62.56005859375
525.534423828125,283.7969970703125,297.327392578125,-121.1473388671875,273.38623046875,-138.41119384765625,-23.84869384765625,413.384521484375,90.15625,67.2569580078125
503.163330078125,323.3831787109375,270.9742431640625,-147.2242431640625,256.9005126953125,-96.42523193359375,39.9156494140625,424.645751953125,84.17431640625,86.6497802734375
504.679931640625,301.0675048828125,283.163818359375,-130.30218505859375,295.3408203125,-190.05291748046875,17.3857421875,365.4097900390625,72.9033203125,66.6173095703125
494.7188720703125,341.5416259765625,291.2840576171875,-164.412841796875,293.409423828125,-129.07159423828125,65.5152587890625,439.9832763671875,87.1541748046875,71.2950439453125
488.1136474609375,375.0069580078125,283.670654296875,-160.6085205078125,285.136474609375,-167.93511962890625,64.6551513671875,599.8399658203125,83.98291015625,55.4659423828125
458.4208984375,280.208740234375,269.5146484375,-175.4124755859375,281.139404296875,-75.10400390625,142.1942138671875,601.7337646484375,74.0438232421875,57.585205078125
426.7469482421875,331.7327880859375,258.707763671875,-199.99017333984375,262.818359375,-86.6253662109375,212.28369140625,675.2705078125,64.35400390625,48.1343994140625
461.109375,261.22021484375,273.5367431640625,-183.07666015625,258.79345703125,-70.62530517578125,140.81884765625,679.57275390625,71.958740234375,68.8193359375
474.556396484375,338.317626953125,289.9940185546875,-173.4984130859375,266.5731201171875,-168.264892578125,109.365234375,693.013916015625,62.2750244140625,66.8756103515625
444.0472412109375,400.292236328125,264.60107421875,-169.18548583984375,266.39111328125,-151.7911376953125,135.860107421875,674.844482421875,56.68798828125,58.9674072265625
486.27978515625,426.8837890625,288.5628662109375,-139.99627685546875,256.8109130859375,-156.0760498046875,53.423095703125,507.30029296875,63.3187255859375,67.8421630859375
507.6566162109375,303.5289306640625,302.2901611328125,-164.95855712890625,313.36376953125,-128.77032470703125,21.5098876953125,312.1817626953125,72.7314453125,66.5206298828125
525.7869873046875,205.9635009765625,298.2154541015625,-143.7255859375,324.93115234375,-106.04962158203125,-10.2034912109375,365.2125244140625,83.0709228515625,57.308349609375
537.704833984375,244.035400390625,311.61572265625,-136.99896240234375,340.3126220703125,-121.392822265625,-53.9603271484375,485.1385498046875,82.716064453125,45.45849609375
560.3758544921875,271.0234375,314.697509765625,-141.1348876953125,309.6787109375,-147.81842041015625,-64.05084228515625,433.78076171875,101.8558349609375,71.86083984375
510.0478515625,239.87353515625,277.7353515625,-133.50146484375,326.5791015625,-113.87786865234375,-20.3572998046875,315.396484375,89.1383056640625,60.667724609375
540.7977294921875,170.2691650390625,270.617431640625,-125.45751953125,326.9139404296875,-51.43780517578125,-43.52154541015625,403.4093017578125,92.2421875,63.0419921875
518.39404296875,270.25537109375,301.9940185546875,-124.83831787109375,306.52978515625,-105.56658935546875,-10.244140625,493.509765625,79.2060546875,45.26806640625
556.74853515625,390.3115234375,306.902099609375,-135.99169921875,320.8240966796875,-101.0716552734375,-63.3414306640625,427.776611328125,82.086669921875,60.59033203125
546.330322265625,291.4951171875,309.656005859375,-151.6624755859375,316.92626953125,-106.5885009765625,-55.9071044921875,379.534423828125,93.4256591796875,66.514892578125
519.0350341796875,321.154541015625,299.3743896484375,-159.18951416015625,268.0880126953125,-79.091064453125,64.750732421875,296.4949951171875,81.2418212890625,60.14892578125
521.0643310546875,238.829833984375,302.648681640625,-147.951171875,301.7647705078125,-106.98638916015625,2.521484375,212.8743896484375,77.1124267578125,84.6785888671875
499.8214111328125,127.810791015625,294.328125,-151.58038330078125,295.968994140625,-82.01544189453125,44.2156982421875,164.4993896484375,74.9237060546875,68.713134765625
523.100341796875,286.8338623046875,299.5711669921875,-141.85546875,286.128662109375,-73.982177734375,5.87664794921875,237.1048583984375,74.291748046875,74.5198974609375
482.413330078125,273.421630859375,281.164794921875,-135.3143310546875,275.266845703125,-140.6046142578125,34.090576171875,290.2308349609375,82.5108642578125,64.1697998046875
476.280029296875,271.6778564453125,268.98876953125,-157.3055419921875,278.5203857421875,-201.6298828125,117.522705078125,241.3109130859375,70.84375,69.470458984375
465.01904296875,214.28466796875,292.02880859375,-165.23052978515625,266.897705078125,-165.54547119140625,88.6524658203125,327.9456787109375,66.6258544921875,80.3795166015625
509.0648193359375,205.912353515625,313.6031494140625,-175.53912353515625,303.119140625,-64.96466064453125,44.357177734375,194.535400390625,71.2161865234375,65.615234375
542.0179443359375,185.7227783203125,315.691650390625,-162.1317138671875,293.661376953125,-17.00347900390625,6.4658203125,248.6566162109375,66.0830078125,67.7816162109375
504.93701171875,182.0760498046875,292.60595703125,-161.32940673828125,317.347900390625,-99.40997314453125,24.1690673828125,287.920166015625,77.9573974609375,65.593994140625
503.8426513671875,187.090576171875,265.7843017578125,-153.64154052734375,293.8798828125,-79.99725341796875,50.1348876953125,385.2945556640625,78.1033935546875,77.2496337890625
479.334716796875,273.307861328125,292.2716064453125,-148.94549560546875,284.068603515625,-104.71734619140625,36.552978515625,427.2235107421875,82.927734375,72.7449951171875
506.8427734375,221.83984375,299.3531494140625,-155.42169189453125,325.774169921875,-137.7012939453125,18.14605712890625,393.6129150390625,76.50146484375,61.6094970703125
463.426513671875,253.4007568359375,272.13720703125,-150.35791015625,269.38134765625,-118.53985595703125,72.1513671875,427.2784423828125,89.409912109375,78.0960693359375
497.1754150390625,116.0174560546875,312.3265380859375,-154.2703857421875,324.4388427734375,-88.56396484375,-25.48480224609375,395.953369140625,88.6837158203125,60.8447265625
527.4091796875,200.2978515625,314.76123046875,-178.9083251953125,320.316162109375,-91.1064453125,17.51934814453125,317.8271484375,78.3182373046875,65.0931396484375
547.645751953125,192.6353759765625,323.2664794921875,-144.3201904296875,325.700439453125,-68.7470703125,-57.55743408203125,376.2144775390625,83.53076171875,61.420166015625
558.7874755859375,248.81005859375,294.0035400390625,-137.75311279296875,333.7490234375,-116.14923095703125,-61.7958984375,397.1715087890625,99.6964111328125,64.5919189453125
504.9989013671875,227.971923828125,290.7393798828125,-167.94659423828125,302.3428955078125,-81.2371826171875,35.794189453125,420.296875,89.3345947265625,64.7691650390625
523.2391357421875,291.119873046875,288.736572265625,-145.78515625,310.319091796875,-132.3587646484375,-15.2947998046875,421.501220703125,98.5706787109375,66.2198486328125
471.383056640625,123.7176513671875,273.722412109375,-131.98052978515625,301.0712890625,-47.86480712890625,43.7701416015625,510.8065185546875,66.9273681640625,65.27587890625
473.443603515625,225.0899658203125,295.0399169921875,-166.60748291015625,265.1104736328125,-102.18792724609375,89.128173828125,602.14453125,89.4638671875,53.3375244140625
