a_C,a_Mo,a_Mn,a_V,a_Ni,a_Al,a_Si,a_Cr,C0,a_Co
166.8150634765625,498.677978515625,292.71746826171875,492.07861328125,57.71875,-136.232421875,54.0296630859375,261.775146484375,4.333984375,398.0560302734375
162.04052734375,479.51800537109375,288.89007568359375,766.683349609375,53.152587890625,-72.2103271484375,66.1783447265625,267.6207275390625,18.273681640625,233.03271484375
137.94921875,487.4794921875,313.30853271484375,663.9627685546875,83.3551025390625,-72.854736328125,68.2412109375,238.55523681640625,22.17578125,433.71337890625
163.33062744140625,451.3365478515625,262.79852294921875,538.5931396484375,51.54510498046875,-172.6397705078125,83.30450439453125,272.77423095703125,26.77392578125,405.48809814453125
139.3824462890625,447.8966064453125,300.95611572265625,489.8721618652344,59.62969970703125,-90.9775390625,67.8975830078125,246.46710205078125,72.0390625,357.7950439453125
160.73052978515625,478.528564453125,288.3939208984375,415.15985107421875,65.59375,-93.52587890625,52.15057373046875,271.94488525390625,25.0518798828125,363.33331298828125
159.08160400390625,478.84661865234375,271.8389892578125,474.7796630859375,70.93798828125,-104.060546875,65.49151611328125,233.177490234375,32.361328125,381.6727294921875
150.89990234375,475.86737060546875,299.99859619140625,382.36468505859375,61.4219970703125,-121.9786376953125,61.43316650390625,276.6976318359375,18.44775390625,248.8800048828125
123.27728271484375,448.692626953125,290.6756591796875,336.11212158203125,66.41558837890625,-118.7227783203125,54.28607177734375,263.83135986328125,92.77392578125,387.50347900390625
150.43670654296875,414.55377197265625,287.23699951171875,406.08782958984375,72.31195068359375,-197.89990234375,50.67413330078125,248.2210693359375,68.2281494140625,472.595458984375
142.02825927734375,504.141845703125,291.51611328125,480.50189208984375,77.85614013671875,-112.1746826171875,84.0804443359375,249.221435546875,15.007568359375,382.099609375
163.66119384765625,451.7095947265625,281.789794921875,751.0247802734375,59.522705078125,-129.71875,63.96392822265625,269.13372802734375,9.739990234375,264.77081298828125
190.495361328125,453.91448974609375,279.1041259765625,653.1046142578125,55.6241455078125,-140.10888671875,59.4803466796875,252.398681640625,13.0902099609375,392.49139404296875
172.8509521484375,459.9588623046875,304.68035888671875,467.08258056640625,62.7109375,-175.2515869140625,67.09912109375,256.51141357421875,3.745361328125,424.2283935546875
162.4056396484375,460.628173828125,275.58111572265625,676.6224365234375,65.40240478515625,-82.3052978515625,52.47802734375,248.53564453125,37.2996826171875,450.1119384765625
176.65277099609375,463.209228515625,279.60443115234375,695.615234375,65.295654296875,-158.756103515625,66.51580810546875,248.80859375,9.055419921875,361.6209716796875
163.52716064453125,485.04229736328125,296.72552490234375,395.870361328125,63.5657958984375,-143.68115234375,57.59185791015625,270.68072509765625,10.865478515625,498.5511169433594
166.44775390625,471.51318359375,269.44384765625,515.1194458007812,56.95892333984375,-219.8828125,66.87066650390625,252.958984375,47.2056884765625,451.81884765625
171.7332763671875,464.035400390625,296.0390625,450.255126953125,53.7803955078125,-132.9102783203125,53.86474609375,265.08447265625,22.297607421875,453.391357421875
159.7039794921875,494.6104736328125,298.948486328125,554.82421875,78.931396484375,-76.4036865234375,47.00067138671875,245.3297119140625,11.9345703125,450.14251708984375
165.7315673828125,491.72467041015625,281.55364990234375,439.26708984375,77.81170654296875,-142.5538330078125,61.6805419921875,247.58251953125,12.7955322265625,435.27899169921875
175.21588134765625,484.45654296875,275.926025390625,428.79718017578125,64.4495849609375,-152.600341796875,58.02593994140625,262.31494140625,13.7459716796875,361.53466796875
142.842529296875,483.587646484375,275.830810546875,664.3212890625,47.97003173828125,-131.1859130859375,48.7755126953125,311.91668701171875,51.57861328125,474.306884765625
141.7344970703125,489.1646423339844,261.67218017578125,326.669921875,67.21734619140625,-161.798583984375,78.84564208984375,252.52679443359375,74.5325927734375,434.2574462890625
151.1444091796875,504.6856689453125,298.98638916015625,610.5808715820312,67.89288330078125,-183.095947265625,49.0855712890625,268.8994140625,14.0489501953125,440.48046875
