a_C,a_V,a_Ni,a_Mn,a_Si,a_Al,C0,a_Cr,a_Mo,a_Co
-161.4334716796875,199.01318359375,62.8287353515625,280.8370361328125,56.3780517578125,-128.05718994140625,54.682861328125,235.9468994140625,509.609130859375,214.2569580078125
-177.33477783203125,29.052490234375,77.3016357421875,235.1363525390625,86.15625,-113.9468994140625,88.633544921875,248.144775390625,469.839599609375,186.4378662109375
-182.47882080078125,223.2691650390625,52.13525390625,245.2001953125,63.72021484375,5.7178955078125,118.52783203125,238.1231689453125,462.5908203125,147.995849609375
-199.23956298828125,296.9036865234375,72.2811279296875,242.9493408203125,65.064208984375,-63.578369140625,133.248779296875,257.30322265625,450.1824951171875,316.74951171875
-204.25946044921875,230.48388671875,54.7412109375,282.0841064453125,36.8046875,-111.20098876953125,196.97509765625,236.2689208984375,452.668212890625,198.70654296875
-161.8443603515625,171.8704833984375,56.2027587890625,251.837158203125,61.71923828125,-100.82086181640625,75.746337890625,240.01416015625,484.4368896484375,175.40380859375
-167.48223876953125,152.9951171875,42.8798828125,290.4158935546875,50.3885498046875,-165.64495849609375,123.6148681640625,232.1031494140625,432.9013671875,118.2701416015625
-184.94970703125,141.2635498046875,51.1693115234375,224.33642578125,65.2987060546875,-66.14849853515625,176.506103515625,237.203369140625,431.0675048828125,219.193115234375
-171.2061767578125,254.095947265625,69.6956787109375,253.0833740234375,60.5404052734375,-77.01031494140625,76.6104736328125,251.5106201171875,462.96875,171.2781982421875
-192.62060546875,273.45703125,61.6763916015625,273.8387451171875,67.7174072265625,-51.1524658203125,95.3441162109375,250.212890625,463.5452880859375,75.3001708984375
-151.88372802734375,487.6729736328125,52.357666015625,295.1697998046875,45.17431640625,-99.5748291015625,45.4561767578125,243.9429931640625,478.178466796875,181.51513671875
-186.282958984375,337.96337890625,58.31494140625,295.50439453125,62.15625,-92.022216796875,39.5345458984375,272.4422607421875,526.2044677734375,106.3057861328125
-176.39483642578125,382.715576171875,64.7342529296875,267.6993408203125,54.7344970703125,-42.01898193359375,38.265625,290.2802734375,515.9591064453125,139.3369140625
-175.3624267578125,351.9295654296875,64.3131103515625,308.298095703125,41.094482421875,-82.1849365234375,64.4400634765625,260.5667724609375,501.833740234375,114.2008056640625
-183.6219482421875,199.6640625,73.0848388671875,276.9525146484375,56.2530517578125,-76.1529541015625,42.1390380859375,272.6292724609375,495.8199462890625,160.3896484375
-165.39666748046875,222.9239501953125,33.468505859375,268.6273193359375,50.1195068359375,-107.4388427734375,121.3218994140625,240.6800537109375,451.9013671875,182.2637939453125
-205.71026611328125,271.2061767578125,58.5279541015625,279.501953125,56.28955078125,-46.67376708984375,125.6708984375,252.525390625,473.7099609375,188.29638671875
-178.14849853515625,395.2506103515625,61.083251953125,333.7972412109375,43.21630859375,-81.01397705078125,15.97607421875,261.8092041015625,496.1070556640625,62.059814453125
-170.22015380859375,595.14208984375,58.3546142578125,280.7454833984375,63.1690673828125,-165.3505859375,37.253173828125,264.330078125,495.5281982421875,111.7041015625
-183.024658203125,542.64208984375,62.9666748046875,284.2757568359375,61.20654296875,-81.94830322265625,63.873046875,256.8238525390625,499.9898681640625,173.857177734375
-174.4267578125,377.1431884765625,50.088623046875,275.708740234375,46.3948974609375,-44.63006591796875,85.4432373046875,257.262451171875,483.1240234375,195.6005859375
-165.8292236328125,458.702392578125,64.9998779296875,254.8123779296875,59.67822265625,-99.0843505859375,58.811279296875,263.327880859375,483.1708984375,155.756103515625
-181.04461669921875,331.330078125,47.3992919921875,302.18505859375,44.1380615234375,-22.2490234375,57.4429931640625,271.38916015625,495.520751953125,172.057373046875
-153.395263671875,394.9910888671875,84.3857421875,307.588623046875,58.439453125,-77.6024169921875,-33.9144287109375,260.81982421875,534.4874267578125,-1.75982666015625
-157.924072265625,458.498291015625,56.4202880859375,282.419921875,51.188232421875,-77.5628662109375,32.173583984375,252.5797119140625,520.9879150390625,38.1812744140625
-176.1708984375,515.73876953125,69.652587890625,281.755615234375,52.158203125,-3.4635009765625,76.3233642578125,237.099365234375,475.32080078125,26.81982421875
-168.60546875,519.5146484375,47.294677734375,311.1337890625,39.10498046875,-58.38153076171875,54.8177490234375,251.0849609375,461.10986328125,118.61181640625
-163.3238525390625,591.5032958984375,71.4114990234375,292.919677734375,56.1868896484375,-85.48876953125,-1.86358642578125,265.351318359375,518.35888671875,328.89453125
-179.17529296875,488.80517578125,52.481201171875,252.326904296875,74.407470703125,-149.2523193359375,103.3480224609375,249.788330078125,451.3531494140625,237.4739990234375
-193.0460205078125,346.1923828125,56.1695556640625,274.0435791015625,57.1375732421875,-69.74578857421875,137.569091796875,245.692626953125,442.954345703125,204.9508056640625
-198.66412353515625,372.4498291015625,52.331298828125,239.209228515625,74.17041015625,-66.4427490234375,133.3858642578125,250.6221923828125,466.6456298828125,136.302734375
-205.69610595703125,460.7835693359375,47.654296875,292.439208984375,49.9708251953125,-82.69805908203125,108.51025390625,264.157958984375,511.1529541015625,190.2586669921875
-185.534912109375,375.330078125,52.45849609375,295.6484375,51.8763427734375,-18.78485107421875,69.3612060546875,256.458984375,520.8131103515625,176.2574462890625
