e_Mo,e_Co,e_0,e_Cr,e_Mn,sigma,e_C,e_Al,e_V,e_Ni,e_Si,nu
-69.60986328125,-30.355865478515625,748.3865966796875,-48.541778564453125,-74.93194580078125,20.16655158996582,-39.427764892578125,26.9124755859375,-87.29531860351562,-30.192413330078125,-8.247833251953125,22.814149856567383
-75.3455810546875,-38.2376708984375,755.6705932617188,-49.67620849609375,-75.6480712890625,20.649890899658203,-38.65899658203125,13.580047607421875,-90.74114990234375,-30.14898681640625,-10.274017333984375,17.931808471679688
-72.0362548828125,-33.77001953125,744.2093505859375,-50.3404541015625,-72.21330261230469,19.172420501708984,-34.409820556640625,20.090087890625,-61.239349365234375,-29.151336669921875,-9.98583984375,17.76812744140625
-73.41819763183594,-32.54266357421875,748.1636962890625,-47.719085693359375,-70.95732116699219,21.73147201538086,-36.87420654296875,12.59686279296875,-121.56694030761719,-32.21832275390625,-6.93505859375,15.286140441894531
-84.63981628417969,-43.158843994140625,765.218994140625,-54.158843994140625,-74.44599914550781,20.709970474243164,-38.5723876953125,19.890045166015625,-67.14842224121094,-31.931488037109375,-10.900238037109375,22.867088317871094
-73.22193908691406,-57.038787841796875,759.3250732421875,-51.71266174316406,-70.67910766601562,19.632490158081055,-39.625762939453125,35.67901611328125,-101.39073181152344,-30.494598388671875,-12.72796630859375,10.243429183959961
-78.76167297363281,-4.75848388671875,752.4720458984375,-49.22895812988281,-80.44313049316406,20.169391632080078,-36.6170654296875,0.049102783203125,-124.90684509277344,-31.15338134765625,-5.61236572265625,26.300382614135742
-85.03131103515625,-47.5037841796875,763.1565551757812,-55.73707580566406,-70.49577331542969,18.33015251159668,-38.9185791015625,23.127105712890625,-66.43301391601562,-31.853546142578125,-10.991241455078125,14.863486289978027
-81.59750366210938,-25.89117431640625,757.273193359375,-50.26994323730469,-77.54133605957031,22.179189682006836,-36.137481689453125,5.7056884765625,-60.7513427734375,-31.24810791015625,-9.77056884765625,21.249357223510742
-84.88314819335938,-36.231109619140625,767.3195190429688,-54.01445007324219,-72.23448181152344,21.98031234741211,-42.022308349609375,25.385345458984375,-49.87635803222656,-30.37933349609375,-11.340545654296875,26.79874610900879
-72.31692504882812,-34.761138916015625,740.399658203125,-50.752532958984375,-70.66494750976562,19.415088653564453,-36.875335693359375,23.30029296875,-14.28485107421875,-26.386566162109375,-10.183380126953125,23.921855926513672
