e_C,e_Al,e_Ni,e_V,nu,sigma,e_Si,e_0,e_Cr,e_Mo,e_Co,e_Mn
-174.0340576171875,40.051544189453125,-28.47991943359375,-96.84808349609375,13.982928276062012,20.821434020996094,-16.32281494140625,754.824462890625,-52.00697326660156,-46.24763488769531,-9.281951904296875,-74.84574890136719
-162.00839233398438,47.373626708984375,-29.66412353515625,9.186309814453125,32.02583312988281,20.34689712524414,-22.148712158203125,747.9674072265625,-54.964996337890625,-45.697418212890625,-32.587615966796875,-69.91557312011719
-170.86224365234375,25.7086181640625,-29.172882080078125,-55.464630126953125,34.29020690917969,19.704771041870117,-14.9586181640625,758.4765014648438,-57.03327941894531,-46.75732421875,-25.3900146484375,-75.37948608398438
-173.50030517578125,46.1591796875,-27.7733154296875,-71.00950622558594,34.9516716003418,21.009803771972656,-12.932586669921875,748.157958984375,-52.84027099609375,-42.5816650390625,-39.649322509765625,-73.50686645507812
-130.35118103027344,39.483489990234375,-26.14544677734375,-85.01589965820312,16.188257217407227,20.193845748901367,-10.7227783203125,729.7393798828125,-50.82501220703125,-42.6326904296875,-31.3233642578125,-73.56036376953125
-160.6972198486328,48.253204345703125,-27.029144287109375,-72.22904968261719,22.439380645751953,19.637157440185547,-16.037933349609375,734.7083129882812,-46.57704162597656,-39.68450927734375,-29.62005615234375,-70.87077331542969
-168.56884765625,38.515380859375,-25.165130615234375,-87.14555358886719,13.270023345947266,19.91530418395996,-14.94293212890625,743.126953125,-53.27227783203125,-41.91094970703125,-25.396820068359375,-72.74778747558594
-166.1555633544922,32.528076171875,-28.783416748046875,-72.8868408203125,10.120888710021973,19.569976806640625,-10.91119384765625,755.3753662109375,-55.76759338378906,-45.88029479980469,-16.436279296875,-77.57301330566406
-173.07513427734375,22.70556640625,-28.0252685546875,-64.42111206054688,15.742852210998535,19.114368438720703,-14.31982421875,755.1610107421875,-56.48075866699219,-43.952423095703125,-12.346221923828125,-75.28492736816406
-155.9290771484375,29.99102783203125,-24.988739013671875,-41.143310546875,5.6418023109436035,18.996681213378906,-11.110107421875,730.8330688476562,-52.300262451171875,-40.412872314453125,-43.172576904296875,-69.23985290527344
-176.9375762939453,-11.25494384765625,-27.57879638671875,-71.42100524902344,12.325974464416504,19.388713836669922,-11.025390625,747.7314453125,-52.633880615234375,-41.81396484375,-12.072723388671875,-73.8734130859375
-136.1697998046875,45.534423828125,-29.130401611328125,35.473602294921875,11.677103996276855,19.546932220458984,-22.366455078125,744.9926147460938,-57.96478271484375,-46.40203857421875,-13.651397705078125,-72.07772827148438
-177.8924102783203,53.2835693359375,-26.29388427734375,-38.566925048828125,6.141685962677002,17.82219696044922,-15.034393310546875,746.6473388671875,-50.85560607910156,-42.127471923828125,-39.546630859375,-72.31417846679688
-165.5874786376953,52.135986328125,-27.30938720703125,-58.016998291015625,19.338642120361328,21.858272552490234,-18.474578857421875,749.9083862304688,-55.995849609375,-45.0953369140625,-32.109375,-69.5928955078125
